annotation_id,frame_index,timestamp_seconds,timestamp_hms,interaction_type,x1,y1,x2,y2,width,height,source_keyframe_index,source_keyframe_number,block_start_frame,block_end_frame,is_keyframe
1,0,0.0,00:00:00.000,Touching Shelf,194,211,279,284,85,73,0,1,0,23,True
2,0,0.0,00:00:00.000,Touching Shelf,598,201,758,289,160,88,0,1,0,23,True
3,0,0.0,00:00:00.000,Touching Shelf,1644,492,1688,533,44,41,0,1,0,23,True
4,0,0.0,00:00:00.000,Touching Shelf,1602,418,1656,451,54,33,0,1,0,23,True
5,0,0.0,00:00:00.000,Touching Shelf,1670,469,1714,502,44,33,0,1,0,23,True
6,0,0.0,00:00:00.000,Holding Object,34,748,144,861,110,113,0,1,0,23,True
7,0,0.0,00:00:00.000,No Interaction,195,704,264,775,69,71,0,1,0,23,True
8,0,0.0,00:00:00.000,No Interaction,348,688,428,737,80,49,0,1,0,23,True
9,0,0.0,00:00:00.000,No Interaction,451,745,525,840,74,95,0,1,0,23,True
10,0,0.0,00:00:00.000,Holding Object,540,835,860,1070,320,235,0,1,0,23,True
11,0,0.0,00:00:00.000,Holding Object,1259,810,1319,915,60,105,0,1,0,23,True
12,0,0.0,00:00:00.000,No Interaction,1294,897,1399,1017,105,120,0,1,0,23,True
13,0,0.0,00:00:00.000,No Interaction,1532,828,1630,892,98,64,0,1,0,23,True
14,0,0.0,00:00:00.000,No Interaction,1765,836,1875,900,110,64,0,1,0,23,True
15,0,0.0,00:00:00.000,Holding Object,1649,818,1746,890,97,72,0,1,0,23,True
16,0,0.0,00:00:00.000,Holding Object,1250,454,1421,543,171,89,0,1,0,23,True
17,0,0.0,00:00:00.000,No Interaction,1444,106,1514,160,70,54,0,1,0,23,True
1,1,0.033333,00:00:00.033,Touching Shelf,194,211,279,284,85,73,0,1,0,23,False
2,1,0.033333,00:00:00.033,Touching Shelf,598,201,758,289,160,88,0,1,0,23,False
3,1,0.033333,00:00:00.033,Touching Shelf,1644,492,1688,533,44,41,0,1,0,23,False
4,1,0.033333,00:00:00.033,Touching Shelf,1602,418,1656,451,54,33,0,1,0,23,False
5,1,0.033333,00:00:00.033,Touching Shelf,1670,469,1714,502,44,33,0,1,0,23,False
6,1,0.033333,00:00:00.033,Holding Object,34,748,144,861,110,113,0,1,0,23,False
7,1,0.033333,00:00:00.033,No Interaction,195,704,264,775,69,71,0,1,0,23,False
8,1,0.033333,00:00:00.033,No Interaction,348,688,428,737,80,49,0,1,0,23,False
9,1,0.033333,00:00:00.033,No Interaction,451,745,525,840,74,95,0,1,0,23,False
10,1,0.033333,00:00:00.033,Holding Object,540,835,860,1070,320,235,0,1,0,23,False
11,1,0.033333,00:00:00.033,Holding Object,1259,810,1319,915,60,105,0,1,0,23,False
12,1,0.033333,00:00:00.033,No Interaction,1294,897,1399,1017,105,120,0,1,0,23,False
13,1,0.033333,00:00:00.033,No Interaction,1532,828,1630,892,98,64,0,1,0,23,False
14,1,0.033333,00:00:00.033,No Interaction,1765,836,1875,900,110,64,0,1,0,23,False
15,1,0.033333,00:00:00.033,Holding Object,1649,818,1746,890,97,72,0,1,0,23,False
16,1,0.033333,00:00:00.033,Holding Object,1250,454,1421,543,171,89,0,1,0,23,False
17,1,0.033333,00:00:00.033,No Interaction,1444,106,1514,160,70,54,0,1,0,23,False
1,2,0.066667,00:00:00.067,Touching Shelf,194,211,279,284,85,73,0,1,0,23,False
2,2,0.066667,00:00:00.067,Touching Shelf,598,201,758,289,160,88,0,1,0,23,False
